SubjectID,AssignmentID,SessionCount,TotalAssignmentTime,FirstSessionStart,LastSessionEnd,NumberKeystrokes,AvgKeyDiffTime
Student38,Assign8,14,15305911,1635448011627,1635544838618,13201,1.6530438917582229
Student38,Assign9,14,11686833,1636059882899,1636175473946,16356,4.544288276846973
Student39,Assign11,15,17233367,1636761975836,1637114143270,8225,8.179273387448918
Student39,Assign12,10,16223284,1638222172748,1638502610025,10814,5.788335526442788
Student39,Assign13,33,14157592,1638521118233,1639164350158,6933,6.735326742417915
Student39,Assign8,10,20927561,1635267049353,1635359149240,17428,1.7628974421344057
Student39,Assign9,13,19161728,1635808493901,1635964550536,11698,8.122814891559804
Student40,Assign10,23,7022381,1636497667973,1636768852728,260,27.961305492377903
Student40,Assign11,15,7558786,1637196184932,1637297167721,4610,7.301213080019847
Student40,Assign12,12,8994760,1638403059920,1638591135391,12291,0.8529622955617061
Student40,Assign6,17,14213818,1633989729822,1634364610786,18397,0.7447835633360083
Student41,Assign6,8,9519906,1634601128765,1634622587579,6426,5.60399055864912
Student42,Assign10,16,19985052,1636668621667,1636786514220,13894,8.008758499490021
Student42,Assign11,11,15739912,1637198702889,1637358600508,7590,27.104389655844273
Student42,Assign12,18,19688837,1638413139849,1638587962401,11490,16.602079918142074
Student42,Assign13,25,17706536,1639102423287,1639205251101,8467,14.030340966592819
Student42,Assign6,3,15625183,1634597380279,1634618992824,12536,2.772392577824905
Student42,Assign7,5,5415210,1634960377241,1634967384656,3516,1.3850044142170668
Student42,Assign8,7,9205953,1635356319341,1635381303422,7996,1.3618330271741663
Student42,Assign9,16,27476650,1635978566961,1636158367407,21226,1.1775658368669035
Student43,Assign10,20,7893725,1636672188094,1636763430924,201,37.86825167815991
Student43,Assign11,21,9117954,1637277868702,1637387888840,1849,49.159207028009604
Student43,Assign12,11,5088614,1638507463413,1638599561188,5171,5.826001682843667
Student43,Assign13,14,6196961,1639091643065,1639189307924,5038,4.921560474225635
Student43,Assign6,16,14496238,1634431112276,1634600892318,13074,1.838531366004827
Student43,Assign8,20,16636886,1635462135419,1635562171984,16504,8.701007161102433
Student43,Assign9,23,13124053,1635970867335,1636085657996,11962,6.171612498777986
Student44,Assign10,20,10725227,1636594828172,1636772398427,388,39.668911896511894
Student44,Assign11,22,12462644,1637094270304,1637275082594,3257,26.476303903152868
Student44,Assign12,6,4745518,1638218090934,1638568542764,4140,1.5934626552210374
Student44,Assign6,10,13084849,1633977160761,1634580584091,9039,3.016687520062694
Student44,Assign7,10,19469594,1634610473443,1634690172094,10439,1.5855089162855847
Student44,Assign8,9,11129366,1635373067929,1635453687858,6647,1.0461529503758724
Student44,Assign9,8,5839924,1635984071422,1636138710132,3158,2.8830798146793226
Student5,Assign13,11,2059044,1638550103236,1638998934210,2063,1.5437178006974763
Student5,Assign7,1,26679,1634850508177,1634850534856,427,0.06248009367681499
Student6,Assign11,9,8979552,1637263637116,1637282908495,5777,6.945286054659167
Student6,Assign12,7,5268098,1638588675067,1638596875545,3277,5.43965937956741
Student6,Assign6,1,9620679,1634613315225,1634622935904,6037,1.5936191817127712
Student6,Assign8,11,7126505,1635560620430,1635575586514,6126,3.792830785149504
Student6,Assign9,3,6884114,1636168587867,1636176532597,4383,1.9796151861291975
Student7,Assign10,10,3675995,1636415666935,1636769854305,262,31.367970071291793
Student7,Assign11,11,5171837,1637130623997,1637366928856,4228,48.40644293806617
Student7,Assign12,11,7262395,1638337328038,1638592969353,12241,3.9696282471873885
Student7,Assign8,11,5089914,1635215320894,1635391620905,7509,1.417125037462021
Student7,Assign9,13,4208852,1635807256526,1636148896825,5200,18.992701954091526
Student8,Assign10,16,5763105,1636672571362,1636761896766,2622,6.956064757477147
Student8,Assign11,16,7256404,1637290840902,1637381682457,6764,11.453414701785666
Student8,Assign12,4,12327159,1638553175759,1638569714408,13115,1.560581075482397
Student8,Assign6,7,6998708,1634572854951,1634615466127,13829,3.363804999378431
Student8,Assign7,8,8884616,1634754920667,1634950898740,13196,2.6761545455665843
Student8,Assign8,6,6510171,1635539185552,1635567112955,11390,6.8152314075953395
Student8,Assign9,24,16157322,1636125856810,1636178017749,8226,22.241467350863875
Student9,Assign10,26,7920200,1636671150692,1636781715601,461,22.868096885758487
Student9,Assign11,33,12712151,1637271006578,1637387652660,6477,5.060534177057227
